"to_char","count","income"
"1992-01",211,812370004.5450
"1992-02",206,777293132.9100
"1992-03",206,830429762.0950
"1992-04",206,783682655.1500
"1992-05",211,836738156.0650
"1992-06",202,829640869.9550
"1992-07",209,800261198.8750
"1992-08",210,891994252.5150
"1992-09",199,817659528.5450
"1992-10",210,803884919.3650
"1992-11",205,832146439.6600
"1992-12",200,830282702.0100
"1992-13",201,787154411.1350
"1992-14",202,821700036.0050
"1992-15",208,790471954.2050
"1992-16",198,773776429.9500
"1992-17",202,816535727.8100
"1992-18",210,756783687.9250
"1992-19",208,788417149.7950
"1992-20",206,750910196.0100
"1992-21",213,1065239475.9850
"1992-22",212,1052480366.1900
"1992-23",211,1031386805.9750
"1992-24",209,1029346201.7650
"1992-25",211,1099225960.3000
"1992-26",213,1059622568.0600
"1992-27",213,1098962365.6500
"1992-28",214,1012307872.1450
"1992-29",214,1057390559.5550
"1992-30",201,788014778.4500
"1992-31",161,290477447.1600
